service,income_grp,hdi_bin,gdp_bin,gini_bin,exposed_population,hotspot_cells
C_Risk_Red_Ratio,Low income,Low (<0.550),Q2,Q4 (Highest Gini),3117.618434701465,2
C_Risk_Red_Ratio,Low income,Low (<0.550),Q3,Q1 (Lowest Gini),154424.97097423338,20
C_Risk_Red_Ratio,Low income,Low (<0.550),Q3,Q2,99625.42022768607,18
C_Risk_Red_Ratio,Low income,Low (<0.550),Q3,Q3,136676.7960462488,15
C_Risk_Red_Ratio,Low income,Low (<0.550),Q3,Q4 (Highest Gini),103264.87503597184,7
C_Risk_Red_Ratio,Low income,Low (<0.550),Q4 (Highest GDP),Q1 (Lowest Gini),694313.3907181282,5
C_Risk_Red_Ratio,Low income,Low (<0.550),Q4 (Highest GDP),Q2,1459162.3925395343,14
C_Risk_Red_Ratio,Low income,Low (<0.550),Q4 (Highest GDP),Q3,940060.8521148738,5
C_Risk_Red_Ratio,Low income,Low (<0.550),Q4 (Highest GDP),Q4 (Highest Gini),166716.7210802191,5
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q2,Q1 (Lowest Gini),756.3782534839946,1
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q2,Q2,8878.713996872688,3
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q2,Q3,734.4692710171149,1
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q3,Q1 (Lowest Gini),51688.48037437079,6
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q3,Q2,53882.252452137494,4
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q3,Q3,33068.80317163837,4
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q1 (Lowest Gini),3898316.314428134,29
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q2,895996.4797370869,4
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q3,2677322.635373422,10
C_Risk_Red_Ratio,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q4 (Highest Gini),894618.7461291148,5
C_Risk_Red_Ratio,Low income,High (0.700-0.800),Q2,Q3,2513.4148619145635,1
C_Risk_Red_Ratio,Low income,High (0.700-0.800),Q3,Q2,8431.422768990096,2
C_Risk_Red_Ratio,Low income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),4170952.6416230923,4
C_Risk_Red_Ratio,Low income,High (0.700-0.800),Q4 (Highest GDP),Q2,251916.60379518286,3
C_Risk_Red_Ratio,Low income,High (0.700-0.800),Q4 (Highest GDP),Q3,667782.7790266505,1
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q1 (Lowest Gini),45.07551805675028,2
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q2,65.40090174794409,1
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q3,682.0427635354672,9
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q4 (Highest Gini),5.402156919750913,6
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q2,Q2,1867.811071122419,4
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q2,Q3,10149.270105430482,9
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q2,Q4 (Highest Gini),685.414616735977,2
C_Risk_Red_Ratio,Lower middle income,Low (<0.550),Q3,Q1 (Lowest Gini),11936.858033868955,4
