...1,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,id,ee_r264_name,dir_ch_2,area_sqkm,service,pct_ch,area_sqkm_country,GHS_BUILT_S_E2020_GLOBE_R2023A_4326_3ss_V1_0_mean,rast_gdpTot_1990_2020_30arcsec.7_mean,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.1_mean,GlobPOP_Count_30arc_2020_I32.1_sum,hdi_raster_predictions_2020.1_mean,farmsize_mehrabi.1_mean,GlobPOP_sqkm,pct_ch_trans,pct_ch_focus,threshold
4167,5060562670,5060560180,5060073410,5060073410,1986.7,1986.7,7146.8,7147.1,564629,0,0,3,852,15,Australia,-43.2363,7146.86536,Sed_export,115.1812181,7718957.407,3.372892912,14032.87855,0.002860329,2869.690091,0.787865579,100,0.401534965,4.755151197,115.1812181,95.03354443
4168,5060562670,5060560180,5060073410,5060073410,1986.7,1986.7,7146.8,7147.1,564629,0,0,3,852,15,Australia,-43.2363,7146.86536,Sed_Ret_Ratio,-2.639,7718957.407,3.372892912,14032.87855,0.002860329,2869.690091,0.787865579,100,0.401534965,-1.291708919,2.639,0.8475
4170,5060562670,5060560180,5060073410,5060073410,1986.7,1986.7,7146.8,7147.1,564629,0,0,3,852,15,Australia,-43.2363,7146.86536,N_export,95.805,7718957.407,3.372892912,14032.87855,0.002860329,2869.690091,0.787865579,100,0.401534965,4.572698646,95.805,32.524
4171,5060562670,5060560180,5060073410,5060073410,1986.7,1986.7,7146.8,7147.1,564629,0,0,3,852,15,Australia,-43.2363,7146.86536,N_Ret_Ratio,-1.254,7718957.407,3.372892912,14032.87855,0.002860329,2869.690091,0.787865579,100,0.401534965,-0.812706416,1.254,1.24125
4172,5060562660,5060560180,5060073410,5060073410,1986.7,1986.7,3492,3492,564628,0,0,4,853,15,Australia,-27.0109,3492.061334,Sed_export,98.86203117,7718957.407,1.782982552,12971.51159,0.001393168,530.5099544,0.785355418,131.5188337,0.151921522,4.603789545,98.86203117,95.03354443
4173,5060562660,5060560180,5060073410,5060073410,1986.7,1986.7,3492,3492,564628,0,0,4,853,15,Australia,-27.0109,3492.061334,Sed_Ret_Ratio,-1.5232,7718957.407,1.782982552,12971.51159,0.001393168,530.5099544,0.785355418,131.5188337,0.151921522,-0.925527937,1.5232,0.8475
4175,5060562660,5060560180,5060073410,5060073410,1986.7,1986.7,3492,3492,564628,0,0,4,853,15,Australia,-27.0109,3492.061334,N_export,65.076,7718957.407,1.782982552,12971.51159,0.001393168,530.5099544,0.785355418,131.5188337,0.151921522,4.190805595,65.076,32.524
42417,2060999310,2060998560,2060078750,2060078750,366.8,366.8,5431.6,5431.6,296206,0,0,2,1652,251,Yemen,-0.0033,5431.629605,Pollination,-100,454846.0839,2.460410449,12390.99969,0.093419046,213433.9224,0.476838856,8.820462912,39.2948528,-4.615120517,100,44.33609554
4263,5060567600,5060531180,5060073410,5060073410,2205.6,2205.6,4806.2,4806.9,564646,0,0,4,872,15,Australia,-9.6023,4806.232021,Sed_Ret_Ratio,-1.2506,7718957.407,5.046819151,31374.5721,0.006976835,4706.141622,0.795648604,93.90471847,0.979181395,-0.811196847,1.2506,0.8475
4287,5060544500,5060539400,5060073410,5060073410,2250.4,2250.4,6604.3,6604.8,564666,0,0,4,877,15,Australia,-6.6751,6604.327502,Sed_Ret_Ratio,-1.3251,7718957.407,7.948442766,54131.74458,0.012143178,11896.08286,0.796925249,100,1.801263247,-0.843763049,1.3251,0.8475
4290,5060544500,5060539400,5060073410,5060073410,2250.4,2250.4,6604.3,6604.8,564666,0,0,4,877,15,Australia,-6.6751,6604.327502,N_Ret_Ratio,-1.704,7718957.407,7.948442766,54131.74458,0.012143178,11896.08286,0.796925249,100,1.801263247,-0.994732158,1.704,1.24125
4292,5060543720,5060544430,5060073410,5060073410,2288,2288,4684.5,4684.8,564668,0,0,4,878,15,Australia,-12.2395,4684.491134,Sed_Ret_Ratio,-1.631,7718957.407,31.13501231,415804.9612,0.08723748,60881.35626,0.804642236,100,12.99634033,-0.967364002,1.631,0.8475
4294,5060543720,5060544430,5060073410,5060073410,2288,2288,4684.5,4684.8,564668,0,0,4,878,15,Australia,-12.2395,4684.491134,N_export,37.282,7718957.407,31.13501231,415804.9612,0.08723748,60881.35626,0.804642236,100,12.99634033,3.644979812,37.282,32.524
4295,5060543720,5060544430,5060073410,5060073410,2288,2288,4684.5,4684.8,564668,0,0,4,878,15,Australia,-12.2395,4684.491134,N_Ret_Ratio,-1.476,7718957.407,31.13501231,415804.9612,0.08723748,60881.35626,0.804642236,100,12.99634033,-0.906644355,1.476,1.24125
4542,5060077660,0,5060077660,5060077660,0,0,2169.1,2169.1,569003,0,1,0,928,15,Australia,-0.6704,2169.105306,Sed_Ret_Ratio,-2.125,7718957.407,3.513804736,9755.406252,0.002343863,874.3484,0.826871748,48.58248368,0.403092711,-1.139434283,2.125,0.8475
4545,5060077660,0,5060077660,5060077660,0,0,2169.1,2169.1,569003,0,1,0,928,15,Australia,-0.6704,2169.105306,N_export,103.203,7718957.407,3.513804736,9755.406252,0.002343863,874.3484,0.826871748,48.58248368,0.403092711,4.64634092,103.203,32.524
4546,5060077660,0,5060077660,5060077660,0,0,2169.1,2169.1,569003,0,1,0,928,15,Australia,-0.6704,2169.105306,N_Ret_Ratio,-4.129,7718957.407,3.513804736,9755.406252,0.002343863,874.3484,0.826871748,48.58248368,0.403092711,-1.634910708,4.129,1.24125
4622,5060083990,0,5060083990,5060083990,0,0,1360.5,1360.5,572055,0,1,0,946,171,New Zealand,-0.4922,1360.526591,N_Ret_Ratio,-1.348,275322.4888,8.092324816,71973.54548,0.017379698,3109.696787,0.819268964,10,2.285701423,-0.853563902,1.348,1.24125
35640,2060001450,0,2060001450,2060001450,0,0,20750.5,20750.5,211034,0,0,1,13,227,Turkey,1.6445,20750.62536,Coastal_Protection,-81.73560816,781771.9107,20.91482535,796504.4019,0.403785467,1995522.324,0.742474247,47.67565949,96.16743327,-4.41565008,81.73560816,13.41768206
4735,5060086740,0,5060086740,5060086740,0,0,3076.5,3076.5,571094,0,0,1,967,171,New Zealand,-0.8367,3076.539192,Sed_export,139.771569,275322.4888,4.412345956,97696.8341,0.020039794,11594.25123,0.83616886,96.54398873,3.76864984,4.947138498,139.771569,95.03354443
4753,5060087130,0,5060087130,5060087130,0,0,3766.1,3766.1,571097,0,1,0,970,171,New Zealand,1.4865,3766.080682,N_Ret_Ratio,-1.371,275322.4888,22.22362373,329975.4133,0.093179705,47979.88499,0.810107536,19.94420851,12.73993919,-0.863311807,1.371,1.24125
4775,5060491570,5060087590,5060087590,5060087590,0.2,0.2,925.6,925.9,568104,1,0,5,977,15,Australia,0,925.5545391,N_export,751.254,7718957.407,0,0,0,0,0.766237865,NA,0,6.623074033,751.254,32.524
4789,5060491380,5060491500,5060087590,5060087590,0.9,0.9,19208.6,360229.6,568500,1,0,1,982,15,Australia,0,19208.65535,N_export,54.481,7718957.407,0.003111821,10.35750974,3.05723235170265e-06,23,0.776742996,NA,0.00119738,4.01604062,54.481,32.524
4817,5060477050,5060486640,5060087590,5060087590,86.9,86.9,749.8,44166.5,568450,1,0,2,989,15,Australia,0,749.8060349,N_export,80.471,7718957.407,0.000466273,1.550863153,4.57778422532104e-07,0,0.749949385,NA,0,4.400247129,80.471,32.524
4865,5060456070,5060491380,5060087590,5060087590,373.8,373.8,17240.7,121112.8,568610,1,0,2,1001,15,Australia,-0.0054,17240.77973,N_export,95.414,7718957.407,0.018384372,181.9359636,4.05224343818802e-05,131,0.825436085,NA,0.007598299,4.568651419,95.414,32.524
4885,5060470960,5060472480,5060087590,5060087590,553.4,553.4,3992.8,232028.8,568217,1,0,2,1006,15,Australia,0,3992.843951,N_export,33.698,7718957.407,0.092290117,292.7581343,8.36288970058328e-05,43.23046411,0.800414262,NA,0.010827105,3.546682048,33.698,32.524
5813,5060088190,5060491510,5060088190,5060087590,0,1.3,10532.9,10532.9,568203,2,0,3,1235,15,Australia,0,10532.93625,N_export,135.193,7718957.407,0.006626993,27.23802075,5.98202124029072e-06,21.24039354,0.766241565,NA,0.002016576,4.914072997,135.193,32.524
5885,5060088370,0,5060088370,5060088370,0,0,15475.6,15475.6,566008,2,0,1,1252,15,Australia,-0.0614,15475.68007,N_Ret_Ratio,-1.61,7718957.407,0.017108308,176.2870934,2.68692551389529e-05,19.23244581,0.808759426,125.0497609,0.001242759,-0.959350221,1.61,1.24125
