"","Sub_Region","mean","raster_name","service","year","color"
"115","South America",377.654113769531,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"116","Southern Africa",184.938919067383,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"117","North Africa",181.28092956543,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"118","West Africa",265.797546386719,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"119","Central and Western Europe",277.471984863281,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"120","Central Africa",233.030975341797,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"121","Eastern Europe",60.3028526306152,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"122","Central Asia",219.546478271484,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"123","East Africa and adjacent islands",742.928283691406,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"124","South Asia",652.091918945312,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"125","North America",113.972854614258,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"126","North-East Asia",747.582580566406,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"127","Caribbean",984.049926757812,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"128","Antarctica",NA,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"129","Oceania",136.099472045898,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"130","Western Asia",650.650390625,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"131","South-East Asia",1414.91821289062,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"132","Mesoamerica",397.016937255859,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"133","South America",379.342895507812,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"134","Southern Africa",195.940994262695,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"135","North Africa",181.098083496094,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"136","West Africa",272.53173828125,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"137","Central and Western Europe",276.907440185547,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"138","Central Africa",246.251007080078,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"139","Eastern Europe",64.1439666748047,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"140","Central Asia",220.852966308594,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"141","East Africa and adjacent islands",726.518615722656,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"142","South Asia",632.119079589844,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"143","North America",117.693161010742,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"144","North-East Asia",759.990539550781,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"145","Caribbean",97416.7265625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"146","Antarctica",NA,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"147","Oceania",7755.0576171875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"148","Western Asia",6262.06884765625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"149","South-East Asia",34224.69140625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"150","Mesoamerica",63695.99609375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"151","South America",21511.56640625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"152","Southern Africa",26443.7734375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"153","North Africa",6078.283203125,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"154","West Africa",21360.158203125,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"155","Central and Western Europe",201217.046875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"156","Central Africa",7872.3779296875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"157","Eastern Europe",8221.1650390625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"158","Central Asia",2366.83813476562,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"159","East Africa and adjacent islands",17601.109375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"160","South Asia",35040.94921875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"161","North America",48411.4453125,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"162","North-East Asia",38881.21484375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"163","Caribbean",193691.875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"164","Antarctica",NA,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"165","Oceania",28007.734375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"166","Western Asia",137763.109375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"167","South-East Asia",139256.296875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"168","Mesoamerica",76516.7578125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"169","South America",47194.73828125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"170","Southern Africa",29889.697265625,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"171","North Africa",50125.49609375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"172","West Africa",78365.7421875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"173","Central and Western Europe",419986.21875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"174","Central Africa",14550.5107421875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"175","Eastern Europe",37805.125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"176","Central Asia",5046.9345703125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"177","East Africa and adjacent islands",34289.08984375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"178","South Asia",150006.84375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"179","North America",173867.859375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"180","North-East Asia",86977.609375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"181","Caribbean",1.13250064849854,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"182","Antarctica",0,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"183","Oceania",0.0381626039743423,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"184","Western Asia",0.0589707158505917,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"185","South-East Asia",0.207511439919472,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"186","Mesoamerica",0.364224374294281,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"187","South America",0.144130811095238,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"188","Southern Africa",0.0234078131616116,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"189","North Africa",0.0934168323874474,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"190","West Africa",0.0714851170778275,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"191","Central and Western Europe",0.774271726608276,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"192","Central Africa",0.00687139574438334,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"193","Eastern Europe",0.0576886981725693,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"194","Central Asia",0.0492912270128727,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"195","East Africa and adjacent islands",0.0216255113482475,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"196","South Asia",0.258504033088684,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"197","North America",0.0887551158666611,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"198","North-East Asia",0.74595183134079,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"199","Caribbean",1.17698860168457,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"200","Antarctica",0,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"201","Oceania",0.0403204895555973,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"202","Western Asia",0.0755109637975693,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"203","South-East Asia",0.223047345876694,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"204","Mesoamerica",0.411425024271011,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"205","South America",0.144602999091148,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"206","Southern Africa",0.0243707317858934,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"207","North Africa",0.11056512594223,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"208","West Africa",0.0869258344173431,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"209","Central and Western Europe",0.812656581401825,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"210","Central Africa",0.00748810777440667,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"211","Eastern Europe",0.0597135052084923,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"212","Central Asia",0.049833670258522,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"213","East Africa and adjacent islands",0.0231299810111523,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"214","South Asia",0.28044980764389,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"215","North America",0.0938765406608582,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
