service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
C_Risk,Sub-Saharan Africa,271051,358,0.13207846493833264,4337,8.254553839059257,region_wb,17.36452294664713,0.4753688808164526
C_Risk_Red_Ratio,Sub-Saharan Africa,271051,338,0.124699779746247,4337,7.793405579893936,region_wb,17.36452294664713,0.44881196010044977
Sed_export,Tropical & Subtropical Moist Broadleaf Forests,228792,34983,15.290307353403964,84590,41.35595224021752,WWF_biome,14.70740056247489,2.811914455212087
Pollination,Tropical & Subtropical Coniferous Forests,12081,1791,14.82493171095108,84590,2.1172715450998933,WWF_biome,0.7766010445962234,2.7263310548348825
Pollination,Tropical & Subtropical Moist Broadleaf Forests,228792,27673,12.09526556872618,84590,32.714268826102376,WWF_biome,14.70740056247489,2.224340643143358
Sed_export,Tropical & Subtropical Coniferous Forests,12081,1439,11.911265623706647,84590,1.7011467076486584,WWF_biome,0.7766010445962234,2.1905027291498587
Pollination,Tropical & Subtropical Dry Broadleaf Forests,39350,4338,11.024142312579416,84590,5.128265752453009,WWF_biome,2.5295299316994777,2.027359189621274
Pollination,Mangroves,10188,1105,10.846093443266588,84590,1.306300981203452,WWF_biome,0.6549136199276818,1.9946156889326856
Nature_Access,Tropical & Subtropical Moist Broadleaf Forests,228792,23376,10.217140459456624,77003,30.357258808098386,WWF_biome,14.70740056247489,2.0640805068948236
Nature_Access,Mangroves,10188,1024,10.05104043973302,77003,1.3298183187668013,WWF_biome,0.6549136199276818,2.030524756705541
N_export,Tropical & Subtropical Moist Broadleaf Forests,228792,21743,9.50339172698346,84590,25.703983922449464,WWF_biome,14.70740056247489,1.7476904782230342
Sed_export,Temperate Conifer Forests,52873,4900,9.267490023263292,84590,5.792646884974583,WWF_biome,3.3988268380875852,1.7043077393827826
Sed_export,Tropical & Subtropical Dry Broadleaf Forests,39350,3562,9.052096569250317,84590,4.210899633526422,WWF_biome,2.5295299316994777,1.6646965037876849
N_export,Tropical & Subtropical Coniferous Forests,12081,1090,9.022431917887593,84590,1.2885683886984278,WWF_biome,0.7766010445962234,1.6592411221496497
N_export,Flooded Grasslands & Savannas,15012,1326,8.832933653077538,84590,1.5675611774441423,WWF_biome,0.9650140618722378,1.6243920574617265
Nature_Access,Flooded Grasslands & Savannas,15012,1311,8.733013589128696,77003,1.7025310702180434,WWF_biome,0.9650140618722378,1.7642551932506954
Nature_Access,"Temperate Grasslands, Savannas & Shrublands",112065,9608,8.573595681077945,77003,12.477435944054127,WWF_biome,7.203856970670952,1.7320493722811943
N_export,"Mediterranean Forests, Woodlands & Scrub",38493,3189,8.2846231782402,84590,3.7699491665681526,WWF_biome,2.4744395339493774,1.523556795324496
Sed_Ret_Ratio,Tropical & Subtropical Coniferous Forests,12081,999,8.269183014651105,58381,1.7111731556499545,WWF_biome,0.7766010445962234,2.2034134096994955
Sed_Ret_Ratio,Tropical & Subtropical Moist Broadleaf Forests,228792,18702,8.17423686142872,58381,32.034394751717166,WWF_biome,14.70740056247489,2.1781139784450514
Sed_export,Mangroves,10188,811,7.960345504515116,84590,0.9587421681049769,WWF_biome,0.6549136199276818,1.4639215599315907
